cruise_id,station,lat_dec,lon_dec,station_type
WS20342,15.5,24.5918,80.9917,C
WS21032,15.5,24.5955,80.9888,C
WS21093,15.5,24.5925,80.993,F
WS21151,15.5,24.5912,80.9927,F
WS21212,15.5,24.5917,80.9906,F
WS21278,15.5,24.5924,80.991,F
WS21338,15.5,24.5927,80.9911,F
WS22022,15.5,24.5927,80.9917,F
WS22072,15.5,24.5917,80.9926,F
WS22141,15.5,24.5982,80.9982,F
WB22215,15.5,24.5917,80.9937,F
WS22281,15.5,24.5918,80.9912,F
WS22337,15.5,24.5915,80.9933,F
WS23011,15.5,24.5923,80.9923,F
WS23061,15.5,24.5922,80.9917,F
HG23138,15.5,24.5926,80.9908,F
WS23203,15.5,24.5922,80.9914,F
WS23259,15.5,24.5936,80.991,F
HG24013,15.5,24.5922,80.991,F
HG24062,15.5,24.5921,80.9931,F
WS24139,15.5,24.5932,80.9922,F
WS24205,15.5,24.5922,80.9894,F
WS24258,15.5,24.5921,80.9914,F
WS24314,15.5,24.5919,80.9921,F
WS14335,16,24.6719,81.2029,C
WS15103,16,24.6763,81.2064,F
WS15148,16,24.6741,81.206,C
WS15208,16,24.6689,81.2017,C
WS15264,16,24.6733,81.2033,C
WS15320,16,24.6743,81.2044,C
WS16004,16,24.6749,81.2034,C
WS16074,16,24.6743,81.2042,C
WS16130,16,24.672,81.1836,C
WS16207,16,24.6712,81.2056,C
WS16263,16,24.672,81.2055,C
WS16319,16,24.6719,81.2049,C
WS17030,16,24.6729,81.204,C
WS17086,16,24.6746,81.205,C
WS17170,16,24.6748,81.2049,F
WS17212,16,24.6756,81.205,C
WS17282,16,24.6764,81.2062,C
WS18008,16,24.6734,81.2047,C
SV18067,16,24.6623,81.1998,F
WS18120,16,24.6722,81.2048,C
SV18173,16,24.6729,81.2044,C
WS18218,16,24.6692,81.2026,C
WS18285,16,24.6714,81.2054,C
WS18351,16,24.6716,81.2037,C
WS19119,16,24.671,81.2025,C
WS19210,16,24.6685,81.2031,C
WS19266,16,24.6695,81.2033,C
WS19322,16,24.6717,81.1987,C
WS20006,16,24.669,81.203,C
WS20231,16,24.67,81.2013,C
WS20279,16,24.6698,81.2022,C
WS20342,16,24.6692,81.2017,C
WS21032,16,24.6697,81.2015,F
WS21093,16,24.6707,81.2008,C
WS21151,16,24.6695,81.2018,C
WS21212,16,24.6714,81.2024,C
WS21278,16,24.67,81.2018,C
WS21338,16,24.6677,81.2032,C
WS22022,16,24.67,81.2028,C
WS22072,16,24.6721,81.2029,C
WS22141,16,24.6716,81.2037,C
WB22215,16,24.6632,81.2025,C
WS22281,16,24.6697,81.2049,C
WS22337,16,24.6707,81.203,C
WS23011,16,24.6705,81.0362,C
WS23061,16,24.6699,81.2012,C
HG23138,16,24.6697,81.2021,C
WS23203,16,24.6705,81.2036,C
WS23259,16,24.6711,81.2031,C
HG23314,16,24.6699,81.2042,C
HG24013,16,24.6711,81.2056,C
HG24062,16,24.6714,81.2053,C
WS24139,16,24.6704,81.2021,C
WS24205,16,24.6709,81.2035,C
WS24258,16,24.6633,81.1994,C
WS24314,16,24.6709,81.2028,C
WS14335,17,24.634,81.1935,F
WS15103,17,24.6386,81.1943,F
WS15148,17,24.6403,81.1951,F
WS15208,17,24.6328,81.1927,F
WS15264,17,24.6346,81.1932,F
WS15320,17,24.6344,81.193,F
WS16004,17,24.6346,81.1938,F
WS16074,17,24.6351,81.1939,F
WS16130,17,24.6364,81.1937,F
WS16207,17,24.6363,81.1945,F
WS16263,17,24.6352,81.1934,F
WS16319,17,24.6343,81.1933,F
WS17030,17,24.6347,81.193,F
WS17086,17,24.6346,81.1933,F
WS17170,17,24.6382,81.1961,F
WS17212,17,24.636,81.1952,F
WS17282,17,24.6356,81.1962,C
WS18008,17,24.6382,81.1945,F
SV18067,17,24.6352,81.193,C
WS18120,17,24.6346,81.1939,F
SV18173,17,24.6339,81.1928,F
WS18218,17,24.6385,81.1945,F
WS18285,17,24.638,81.1942,F
WS18351,17,24.6346,81.1934,F
WS19119,17,24.6368,81.1938,F
WS19210,17,24.635,81.1938,F
WS19266,17,24.6362,81.1942,F
WS19322,17,24.6352,81.194,F
WS20006,17,24.6325,81.1942,F
WS20231,17,24.6423,81.1952,F
WS20279,17,24.6333,81.1933,F
WS20342,17,24.6353,81.1915,F
WS21032,17,24.6355,81.1943,F
WS21093,17,24.6358,81.1943,F
WS21151,17,24.6355,81.1931,F
WS21212,17,24.6369,81.1937,F
WS21278,17,24.6353,81.1897,F
WS21338,17,24.634,81.1942,F
WS22022,17,24.6344,81.1939,F
WS22072,17,24.635,81.1934,F
WS22141,17,24.6345,81.1934,F
WB22215,17,24.6336,81.1959,F
WS22281,17,24.6342,81.193,F
WS22337,17,24.6344,81.1933,F
WS23011,17,24.6346,81.1944,F
WS23061,17,24.6346,81.1931,F
HG23138,17,24.6353,81.1931,F
WS23203,17,24.6341,81.1934,F
WS23259,17,24.634,81.1927,F
HG23314,17,24.6306,81.1918,F
HG24013,17,24.6367,81.1936,F
HG24062,17,24.6355,81.1929,F
WS24139,17,24.6337,81.1931,F
WS24205,17,24.6345,81.194,F
WS24258,17,24.6348,81.193,F
WS24314,17,24.6353,81.1935,F
WS14335,18,24.5986,81.1832,F
WS15103,18,24.6005,81.185,C
WS15148,18,24.5983,81.1848,C
WS15208,18,24.596,81.1844,C
WS15264,18,24.6029,81.182,C
WS15320,18,24.5978,81.1843,C
WS16004,18,24.5979,81.1668,C
WS16074,18,24.5981,81.1849,C
WS16130,18,24.5983,81.1836,C
WS16207,18,24.5809,81.1831,C
WS16207,18,24.5976,81.1831,C
WS16263,18,24.599,81.1845,C
WS16319,18,24.5988,81.1842,C
WS17030,18,24.5996,81.184,C
WS17086,18,24.5996,81.1838,C
WS17170,18,24.6005,81.1858,F
WS17212,18,24.5789,81.1792,C
WS17282,18,24.5764,81.18,C
WS18008,18,24.5768,81.1812,C
SV18067,18,24.5978,81.1872,C
WS18120,18,24.5795,81.18,C
SV18173,18,24.5983,81.1816,C
