CTDID,SiteID,Latitude,Longitude
WS21151_1,1,25.6453910000000,-80.1288800000000
WS21212_1,1,25.6452343333333,-80.1287408333333
WS21278_1,1,25.6443833333333,-80.1224050000000
WS21338_1,1,25.6450550000000,-80.1267516666667
WS22022_1,1,25.6450960000000,-80.1276448333333
WS22072_38,1,25.6466420000000,-80.1312313333333
WS22141_1,1,25.6450983333333,-80.1279690000000
WB22215_30,1,25.6447500000000,-80.1234166666667
WS22281_1,1,25.6446925000000,-80.1266240000000
WS22337_38,1,25.6441220000000,-80.1245540000000
WS23011_38,1,25.6449533333333,-80.1251716666667
WS23061_1,1,25.6450966666667,-80.1274433333333
HG23138_29,1,25.6434333333333,-80.1263333333333
WS23203_1,1,25.6447266666667,-80.1259833333333
WS23259_1,1,25.6449075000000,-80.1274903333333
HG23314_6,1,25.6449333333333,-80.1268600000000
HG24062_34,1,25.6442050000000,-80.1259970000000
WS10067_14,10,24.7865000000000,-80.8613333333333
WS10180_9,10,24.7801666666667,-80.8583333333333
WS11094_13,10,24.7849500000000,-80.8611500000000
WS11158_11,10,24.7883166666667,-80.8643000000000
WS11293_11,10,24.7826000000000,-80.8612333333333
WS11345_8,10,24.7840800000000,-80.8631833333333
WS12058_7,10,24.7882000000000,-80.8627333333333
WS12156_9,10,24.7881500000000,-80.8602000000000
WS12219_13,10,24.7880833330000,-80.8613333330000
WS14335_15,10,24.7753500000000,-80.8613333333333
WS15103_4,10,24.7829833333333,-80.8633333333333
WS15152_22,10,24.7847683333333,-80.8672200000000
WS15208_25,10,24.7886833333333,-80.8618500000000
WS15264_22,10,24.7883133333333,-80.8608650000000
WS15320_18,10,24.7865300000000,-80.8609833333333
WS16004_22,10,24.7877666666667,-80.8603500000000
WS16074_22,10,24.7885833333333,-80.8600666666667
WS16130_22,10,24.7872650000000,-80.8598373333333
WS16207_22,10,24.7826166666667,-80.8607000000000
WS16263_19,10,24.7875845000000,-80.8599175000000
WS16319_14,10,24.7843000000000,-80.8613000000000
WS17030_22,10,24.7879728333333,-80.8611346666667
WS17086_19,10,24.7871328333333,-80.8619743333333
WS17170_22,10,24.7880356666667,-80.8600395000000
WS17212_22,10,24.7879700000000,-80.8600300000000
WS17282_22,10,24.7882300000000,-80.8599466666667
WS18008_11,10,24.7888000000000,-80.8606833333333
WS18120_17,10,24.7846333333333,-80.8638000000000
SAV18173_20,10,24.7830833333333,-80.8626333333333
WS18218_22,10,24.7808210000000,-80.8611290000000
WS18351_22,10,24.7818333333333,-80.8625333333333
WS19119_17,10,24.7847936666667,-80.8638380833333
WS19210_20,10,24.7796990000000,-80.8649080000000
WS19266_20,10,24.7790770000000,-80.8667130000000
WS19322_22,10,24.7891070000000,-80.8623190000000
WS20006_20,10,24.7895440000000,-80.8617120000000
WS20231_19,10,24.7880010000000,-80.8618370000000
WS20279_22,10,24.7890540000000,-80.8597720000000
WS20342_15,10,24.7876920000000,-80.8635610000000
WS21032_15,10,24.7871960000000,-80.8597380000000
WS21093_15,10,24.7876520000000,-80.8616750000000
WS21151_19,10,24.7882670000000,-80.8607470000000
WS21212_19,10,24.7890666666667,-80.8602150000000
WS21278_18,10,24.7880833333333,-80.8550333333333
WS21338_20,10,24.7885000000000,-80.8607000000000
WS22022_20,10,24.7887400000000,-80.8602316666667
WS22072_19,10,24.7891005000000,-80.8599981666667
WS22141_19,10,24.7881041666667,-80.8624400000000
WS22281_20,10,24.7909708333333,-80.8628961666667
