cruise_id,station,latitude,longitude
WS16263,62,25.1663333333333,-81.2343333333333
WS16319,62,25.1655,-81.2333333333333
WS17170,62,25.1695,-81.2376666666667
WS17212,62,25.166,-81.235
WS17282,62,25.1666666666667,-81.236
WS18008,62,25.1671666666667,-81.2346666666667
WS18120,62,25.1661666666667,-81.2373333333333
WS18218,62,25.1665,-81.2325
WS0603,63,25.1656666666667,-81.199
WS0612,63,25.1663333333333,-81.1998333333333
WS1418,63,25.1661666666667,-81.1996666666667
WS15103,63,25.1653333333333,-81.198
WS17282,63,25.1665,-81.2011666666667
WS20231,63,25.1696666666667,-81.216
SAV18173,64,25.1658333333333,-81.158
WS0603,64,25.1651666666667,-81.1568333333333
WS1418,64,25.1658333333333,-81.1558333333333
WS15152,64,25.1663333333333,-81.1571666666667
WS15208,64,25.1655,-81.1571666666667
WS15264,64,25.1645,-81.1555
WS16004,64,25.1663333333333,-81.1563333333333
WS16074,64,25.1673333333333,-81.1688333333333
WS16207,64,25.1663333333333,-81.1571666666667
WS16319,64,25.1656666666667,-81.1563333333333
WS17086,64,25.1661666666667,-81.1575
WS17170,64,25.1683333333333,-81.1806666666667
WS17282,64,25.1661666666667,-81.1583333333333
WS18008,64,25.1661666666667,-81.1595
WS19028,64,25.166,-81.1565
WS20006,64,25.1645,-81.158
WS21151,64,25.1646666666667,-81.161
WS22281,64,25.1661666666667,-81.1621666666667
SAV18173,65,25.1006666666667,-81.0928333333333
WS0603,65,25.0983333333333,-81.0965
WS0612,65,25.1006666666667,-81.093
WS0914,65,25.0495,-80.2865
WS1418,65,25.0988333333333,-81.091
WS15103,65,25.101,-81.0926666666667
WS15208,65,25.0493333333333,-80.2851666666667
WS15264,65,25.101,-81.0916666666667
WS16004,65,25.1013333333333,-81.093
WS16074,65,25.1015,-81.0951666666667
WS16207,65,25.0973333333333,-81.0961666666667
WS16263,65,25.0996666666667,-81.0955
WS17030,65,25.091,-81.1005
WS17170,65,25.0965,-81.0983333333333
WS17212,65,25.1,-81.0946666666667
WS17282,65,25.1015,-81.0941666666667
WS18008,65,25.0988333333333,-81.0965
WS18218,65,25.1016666666667,-81.0928333333333
WS20006,65,25.101,-81.0953333333333
WS22281,65,25.0963333333333,-81.0973333333333
WS15208,65A,25.1006666666667,-81.0916666666667
WS0603,66,25.0673333333333,-81.1093333333333
WS0612,66,25.068,-81.1075
WS1418,66,25.0676666666667,-81.1095
WS15103,66,25.066,-81.1075
WS17282,66,25.0685,-81.1088333333333
WS0603,67,25.0291666666667,-81.1271666666667
WS0612,67,25.03,-81.126
WS1418,67,25.029,-81.127
WS15103,67,25.0293333333333,-81.1273333333333
WS17282,67,25.0298333333333,-81.1271666666667
WS1007,675,25.0011666666667,-80.2115
SAV1803,68,24.9303333333333,-81.1678333333333
SAV18173,68,24.9296666666667,-81.168
WS0603,68,24.927,-81.1673333333333
WS0612,68,24.929,-81.1656666666667
WS0618,68,24.9298333333333,-81.1683333333333
WS0623,68,24.9273333333333,-81.1678333333333
WS0704,68,24.9275,-81.1675
WS0802,68,24.9296666666667,-81.1666666666667
WS0807,68,24.9301666666667,-81.1646666666667
WS0901,68,24.9301666666667,-81.1663333333333
WS0906,68,24.9285,-81.1688333333333
WS0923,68,24.9288333333333,-81.1656666666667
WS1004,68,24.9301666666667,-81.1675
WS1007,68,24.9301666666667,-81.1683333333333
WS1015,68,24.9296666666667,-81.1665
WS1018,68,24.9288333333333,-81.1665
WS1102,68,24.9298333333333,-81.1676666666667
WS1106,68,24.928,-81.1658333333333
WS1113,68,24.9286666666667,-81.168
WS1202,68,24.9316666666667,-81.1671666666667
WS1207,68,24.9311666666667,-81.1673333333333
WS1212,68,24.9313333333333,-81.1705
WS1418,68,24.9275,-81.1678333333333
WS15103,68,24.9288333333333,-81.1685
WS15152,68,24.9298333333333,-81.1648333333333
WS15208,68,24.9298333333333,-81.1688333333333
WS15264,68,24.9296666666667,-81.1676666666667
WS15320,68,24.9278333333333,-81.1665
WS16004,68,24.9233333333333,-81.1675
WS16074,68,24.931,-81.1638333333333
WS16207,68,24.9305,-81.1681666666667
WS16319,68,24.9306666666667,-81.1651666666667
WS17030,68,24.931,-81.1671666666667
WS17170,68,24.932,-81.1685
WS18008,68,24.93,-81.1658333333333
WS18120,68,24.9338333333333,-81.1638333333333
WS18218,68,24.9296666666667,-81.1683333333333
WS18285,68,24.9275,-81.1678333333333
WS19119,68,24.9308333333333,-81.1663333333333
WS19210,68,24.9298333333333,-81.1656666666667
WS19266,68,24.9293333333333,-81.1668333333333
WS19322,68,24.9301666666667,-81.1666666666667
WS20006,68,24.9298333333333,-81.1701666666667
WS21151,68,24.9296666666667,-81.167
WS22281,68,24.9286666666667,-81.1663333333333
WS0603,69,24.9296666666667,-81.0948333333333
WS0612,69,24.929,-81.0938333333333
WS0623,69,24.9303333333333,-81.094
WS0704,69,24.9298333333333,-81.0941666666667
WS0718,69,24.9293333333333,-81.096
WS0802,69,24.9306666666667,-81.0955
WS0807,69,24.9296666666667,-81.0936666666667
WS0901,69,24.9295,-81.095
WS0906,69,24.9301666666667,-81.0961666666667
WS0919,69,24.9286666666667,-81.0945
WS0923,69,24.932,-81.0936666666667
WS1004,69,24.9285,-81.0965
WS1007,69,24.9301666666667,-81.0951666666667
WS1015,69,24.9301666666667,-81.0943333333333
WS1018,69,24.9291666666667,-81.0943333333333
WS1102,69,24.93,-81.0958333333333
WS1106,69,24.9296666666667,-81.0933333333333
WS1113,69,24.9303333333333,-81.0945
WS1202,69,24.9303333333333,-81.0958333333333
WS1207,69,24.9301666666667,-81.096
WS1212,69,24.9306666666667,-81.0956666666667
WS1418,69,24.9291666666667,-81.0945
WS15103,69,24.9298333333333,-81.0938333333333
WS17282,69,24.9291666666667,-81.0953333333333
WS0914,6C,25.012,-80.2213333333333
SAV1803,7,24.8116666666667,-80.7553333333333
WS0603,7,24.819,-80.7561666666667
WS0612,7,24.8183333333333,-80.7561666666667
WS0618,7,24.8168333333333,-80.7545
WS0623,7,24.8185,-80.7571666666667
WS0704,7,24.819,-80.7558333333333
WS0718,7,24.8191666666667,-80.7528333333333
WS0802,7,24.815,-80.7565
WS0807,7,24.82,-80.7536666666667
WS0901,7,24.8203333333333,-80.7541666666667
WS0914,7,24.8168333333333,-80.7531666666667
WS0919,7,24.818,-80.7536666666667
WS0923,7,24.8126666666667,-80.7538333333333
WS1004,7,24.8191666666667,-80.7545
WS1007,7,24.8163333333333,-80.7535
WS1015,7,24.82,-80.7475
WS1018,7,24.82,-80.7563333333333
WS1102,7,24.8176666666667,-80.7598333333333
WS1106,7,24.816,-80.7553333333333
WS1113,7,24.8213333333333,-80.7565
WS1116,7,24.8196666666667,-80.7545
WS1202,7,24.8186666666667,-80.7525
WS1207,7,24.8201666666667,-80.756
WS1212,7,24.8166666666667,-80.7556666666667
WS1418,7,24.8126666666667,-80.7491666666667
WS15103,7,24.8203333333333,-80.7545
WS15152,7,24.8158333333333,-80.7551666666667
WS15208,7,24.8156666666667,-80.7533333333333
WS15264,7,24.8185,-80.753
WS16004,7,24.8191666666667,-80.7538333333333
